# Random data
1	10	42	1
2	45	49	1
3	20	57	3
4	31	50	2
5	1	59	1
6	46	34	2
7	47	28	1
8	44	5	1
9	17	21	2
10	21	6	3
11	6	15	1
12	58	62	3
13	12	68	3
14	44	24	2
15	3	45	2
16	25	54	3
17	41	6	2
18	24	4	3
19	18	65	2
20	32	33	1
21	26	66	2
22	39	44	2
23	35	45	2
24	56	10	1
25	56	38	3
26	34	49	2
27	49	18	3
28	49	5	3
29	9	53	3
30	25	14	3
31	27	50	1
32	56	27	2
33	35	12	1
34	35	8	3
35	55	43	1
36	34	43	2
37	1	69	2
38	21	70  2
39	46	11  3
40	23	38  1
41	44	2   1
42	51	44  3
43	29	59  1
44	26	65  2
45	27	41  1
46	13	12  3
47	30	55  3
48	32	40  3
49	48	24  1
50	59	58  3
